"Date"	"Open"
1	593.02
2	589.04
3	591
4	588.13
5	580.63
6	572
7	586.41
8	582.52
9	576.49
10	569.5
11	573.77
12	576.65
13	574.87
14	575
15	569.29
16	569.56
17	570.48
18	562.73
19	555.45
20	547.72
21	543.49
22	540.8
23	530.01
24	537.08
25	550
26	543.01
27	547.87
28	550.97
29	555.75
30	555.25
31	550
32	549.91
33	551.64
34	552.69
35	547.33
36	533.75
37	532.46
38	524.39
39	523.42
40	516.65
41	519.57
42	499
43	491.7
44	487.65
45	483.74
46	493
47	500
48	499.53
49	494.84
50	494.29
51	500.47
52	500.78
53	500.92
54	487.74
55	496.77
56	490.57
57	479.8
58	475.08
59	470.51
60	470.4
61	466.65
62	459.06
63	464.29
64	457.57
65	455.82
66	455.82
67	459.68
68	459.79
69	469.26
70	468.58
71	472.76
72	469.13
73	467.35
74	465.54
75	452
76	439.99
77	445.1
78	451.5
79	462.78
80	462.15
81	455.41
82	453.67
83	455.14
84	455.67
85	454.3
86	456
87	449.37
88	448.74
89	449.98
90	442.61
91	437.23
92	441
93	446.04
94	435.81
95	428.68
96	428
97	430.94
98	429.88
99	433
100	436.68
101	429.66
102	423.71
103	416.17
104	409.58
105	406.12
106	400
107	408.24
108	406.5
109	415.41
110	424.2
111	424
112	426
113	413.68
114	407
115	408.74
116	406.65
117	416.95
118	418.21
119	415.68
120	416.19
121	419.31
122	421.5
123	426.86
124	431.77
125	436.23
126	438.58
127	439.5
128	445.07
129	435.3
130	426
131	426.25
132	418.73
133	412.11
134	408.68
135	405.64
136	391.95
137	396.66
138	396.3
139	402.09
140	396.1
141	394.73
142	391.1
143	388.8
144	394.09
145	410.01
146	402.8
147	402.85
148	404.1
149	406.79
150	399.98
151	398.17
152	395.03
153	395.76
154	385.97
155	383.75
156	384.34
157	386.05
158	387.51
159	381.75
160	376.17
161	386.15
162	386.02
163	381.5
164	367.1
165	376.94
166	371.33
167	369.5
168	363.5
169	362.6
170	367
171	364.5
172	363.31
173	343.78
174	348.93
175	342.55
176	350
177	353.13
178	350.4
179	346.5
180	333.56
181	330.3
182	331.68
183	334.81
184	320.18
185	325.99
186	326.1
187	317.54
188	310.1
189	298.25
190	299.98
191	307.22
192	316.48
193	323.16
194	330.07
195	333.33
196	332.95
197	345.96
198	342.15
199	331.02
200	347
201	338.05
202	357.47
203	347.24
204	346.51
205	362.19
206	353.16
207	358.95
208	375.98
209	371.28
210	356.46
211	340.91
212	340.07
213	342.57
214	334.29
215	344.69
216	344.54
217	337.98
218	326.45
219	324.85
220	309.27
221	298.04
222	288.35
223	299.14
224	305.02
225	297.57
226	310
227	311.77
228	316.31
229	327.5
230	318.28
231	328.32
232	332.98
233	321
234	308.6
235	304.2
236	300.8
237	300.22
238	304.07
239	301.48
240	300.43
241	308.56
242	310.99
243	316.7
244	318.64
245	314.52
246	314.01
247	295.71
248	304.17
249	309.24
250	297.69
251	289.99
252	271.02
253	276.53
254	269.85
255	269.73
256	286.68
257	290.58
258	280.28
259	268.68
260	269.26
261	262.51
262	274.89
263	295.39
264	301.57
265	303
266	303.25
267	291.77
268	302.05
269	308.69
270	328
271	333.12
272	339.97
273	362.15
274	353.44
275	357.58
276	356.16
277	368.46
278	365.79
279	339.05
280	334.81
281	326.47
282	353.65
283	356.99
284	372.39
285	379.75
286	378.96
287	332.76
288	354.65
289	393.53
290	355.79
291	313.16
292	344.52
293	330.16
294	373.33
295	373.98
296	397.35
297	409.79
298	411.15
299	395.98
300	419.51
301	428
302	438.84
303	430.34
304	433.25
305	454.13
306	461
307	422.64
308	438.48
309	425.96
310	424
311	430.21
312	408.35
313	424.47
314	423.17
315	452.02
316	445.49
317	460
