time,[A],[B],[C]
0.0,10.102459188101488,0.22543180868482027,0.022607137661158787
0.5263157894736842,8.242418966813652,2.128511699103909,0.2514782601357613
1.0526315789473684,6.77575718712316,2.744969154079571,0.5783784623777108
1.5789473684210527,6.391024924278554,3.7820682751537293,1.2049798797027118
2.1052631578947367,5.06977599751483,4.513758609093787,1.57926864515264
2.631578947368421,3.39634568198025,4.522987769378081,1.4735692784433103
3.1578947368421053,2.639658939973784,4.950745987610499,1.583586657430602
3.6842105263157894,2.741011588623803,4.720084184332125,2.7103008047909656
4.2105263157894735,3.081431685556558,4.565289764181135,2.2148226779980713
4.7368421052631575,2.5862598960539285,4.241858330987868,3.9649853418232803
5.263157894736842,0.5762212071494492,4.4519669100183,3.7467271373532314
5.789473684210526,0.9641972561416513,4.105771121199608,4.5758824218638505
6.315789473684211,0.829260146350745,3.9883562158857777,4.623030413961884
6.842105263157895,0.8634572314794089,3.707967103119402,5.593024937735953
7.368421052631579,0.8317113620706845,3.2679931386299863,6.1291731352985135
7.894736842105263,0.9580190709517891,3.0654050739147354,6.287164575110934
8.421052631578947,0.7497485052874354,2.8487723458415832,6.68460077407596
8.947368421052632,0.0,2.916363361380622,6.329492789165436
9.473684210526315,0.288339505564559,2.537976429769612,6.762510733249164
10.0,0.0,3.120232406326094,7.031430067500304
