time,[B]
0.0,0.017195864950857814
1.0526315789473684,2.545634770609294
2.1052631578947367,4.204033062663805
3.1578947368421053,4.787842132682793
4.2105263157894735,4.7064982035079534
5.263157894736842,4.283476225304258
6.315789473684211,4.2490164047709795
7.368421052631579,3.294345955613367
8.421052631578947,2.9495689455399097
9.473684210526315,2.7134443353845983
10.526315789473683,2.3335078462981316
11.578947368421051,2.3160330003002056
12.631578947368421,1.9359508560234562
13.68421052631579,1.1364334396739268
14.736842105263158,0.9543409309099883
15.789473684210526,0.9755663990897464
16.842105263157894,0.7563978014210123
17.894736842105264,0.5232158203049174
18.94736842105263,0.37856319848401565
20.0,0.13248327504719382
