"nM EGF","pEGFRtot (nM)","Total Egfr_Lig"

0,1.14,4.22

0.00495,1.15,4.26

0.0165,2.91,10.79

0.0495,3.22,11.92

0.165,10.41,38.54

0.495,19.80,73.33

1.65,25.91,95.98

4.95,24.81,91.90

16.5,33.14,122.74

