# Steady-State Analysis Results
# Generated: 2026-06-15 10:13:12
# Scaling: Scaled

# Concentrations
Species,Concentration
[S1],11.505255
[S2],10.744109
[S3],9.573114
[S4],7.771584

# Jacobian
,D_[S1],D_[S2],D_[S3],D_[S4]
[S1],-1.65,0.65,0,0
[S2],1,-1.65,0.65,0
[S3],0,1,-1.65,0.65
[S4],0,0,1,-1.65

# Eigenvalues
Index,Real,Imaginary
1,-2.954501,0
2,-0.345499,0
3,-2.148275,0
4,-1.151725,0

# Elasticities (Scaled)
,[S1],[S2],[S3],[S4]
J1,-1.653937,0,0,0
J2,2.544518,-1.544518,0,0
J3,0,2.376182,-1.376182,0
J4,0,0,2.117203,-1.117203
J5,0,0,0,1.718775

# Flux Control Coefficients (Scaled)
,E_J1,E_J2,E_J3,E_J4,E_J5
J1,0.395941,0.257361,0.167285,0.108735,0.070678
J2,0.395941,0.257361,0.167285,0.108735,0.070678
J3,0.395941,0.257361,0.167285,0.108735,0.070678
J4,0.395941,0.257361,0.167285,0.108735,0.070678
J5,0.395941,0.257361,0.167285,0.108735,0.070678

# Concentration Control Coefficients (Scaled)
,E_J1,E_J2,E_J3,E_J4,E_J5
[S1],0.365225,-0.155605,-0.101143,-0.065743,-0.042733
[S2],0.345338,0.22447,-0.274938,-0.178709,-0.116161
[S3],0.308568,0.200569,0.13037,-0.387581,-0.251927
[S4],0.230362,0.149735,0.097328,0.063263,-0.540689

